"","gene","vP0_1","vP0_2","vP4_1","vP4_2","vP7_1","vP7_2","vAd_1","vAd_2"
"310","ENSMUSG00000100775.2",2,0,0,1,1,1,6,2
"311","ENSMUSG00000101226.2",0,1,0,0,0,0,0,0
"312","ENSMUSG00000026158.12",303,415,347,487,338,373,795,698
"313","ENSMUSG00000097920.2",2,0,0,0,0,0,1,3
"314","ENSMUSG00000099503.2",0,0,0,0,0,0,0,0
"315","ENSMUSG00000026156.9",26,26,37,33,27,25,18,7
"316","ENSMUSG00000026155.14",301,349,246,388,210,173,155,127
"317","ENSMUSG00000026154.5",247,189,229,266,137,161,518,431
"318","ENSMUSG00000102495.2",0,0,0,0,1,1,0,0
"319","ENSMUSG00000026153.16",850,1392,1028,1019,584,607,771,567
"320","ENSMUSG00000102398.2",1,2,1,2,0,1,0,2
"321","ENSMUSG00000097670.2",0,0,0,0,0,0,0,0
"322","ENSMUSG00000026147.17",6,13,0,1,0,0,0,0
"323","ENSMUSG00000026141.14",8,4,3,0,0,1,1,0
"324","ENSMUSG00000077463.3",0,0,0,0,0,0,0,0
"325","ENSMUSG00000099997.2",0,0,1,0,0,0,1,0
"326","ENSMUSG00000100131.2",11,31,28,27,19,53,10,10
"327","ENSMUSG00000067736.3",10,21,15,14,19,29,29,41
"328","ENSMUSG00000101939.2",142,114,97,112,89,158,346,272
"329","ENSMUSG00000101111.2",8,26,12,17,12,26,11,18
"330","ENSMUSG00000100862.2",12,35,26,17,26,50,17,24
"331","ENSMUSG00000102070.2",24,39,26,40,40,43,13,20
"332","ENSMUSG00000101249.2",27,43,26,39,35,51,47,50
"333","ENSMUSG00000073725.9",560,547,456,551,361,399,923,860
"334","ENSMUSG00000100808.2",0,0,0,0,0,0,0,0
"335","ENSMUSG00000100483.2",0,0,0,0,0,0,0,0
"336","ENSMUSG00000100450.2",0,0,0,0,0,0,0,0
"337","ENSMUSG00000099392.2",0,0,0,0,0,0,0,0
"338","ENSMUSG00000033569.18",1,1,0,1,0,0,0,0
"339","ENSMUSG00000080849.2",0,0,0,0,0,0,0,0
"340","ENSMUSG00000104257.2",0,0,0,0,0,0,0,0
"341","ENSMUSG00000119153.1",0,0,0,0,0,0,0,0
"342","ENSMUSG00000102296.2",0,0,0,0,0,0,0,0
"343","ENSMUSG00000103209.2",0,0,0,0,0,0,0,0
"344","ENSMUSG00000104027.2",0,0,0,0,0,0,0,0
"345","ENSMUSG00000102407.2",0,0,0,0,0,0,0,0
"346","ENSMUSG00000103214.2",0,0,0,0,0,0,0,0
"347","ENSMUSG00000104100.2",0,0,0,0,0,0,0,0
"348","ENSMUSG00000084740.3",0,0,0,0,0,0,0,0
"349","ENSMUSG00000103889.2",0,0,0,0,0,0,0,0
"350","ENSMUSG00000101301.2",0,0,0,0,0,0,0,0
"351","ENSMUSG00000104221.2",0,0,0,0,0,0,0,0
"352","ENSMUSG00000102250.2",0,0,0,0,0,0,0,0
"353","ENSMUSG00000102317.2",0,0,0,0,0,0,0,0
"354","ENSMUSG00000103563.2",0,0,0,0,0,0,0,0
"355","ENSMUSG00000102465.2",0,1,0,0,0,0,0,0
"356","ENSMUSG00000102659.2",0,0,0,0,0,0,0,0
"357","ENSMUSG00000103924.2",0,0,0,0,0,0,0,0
"358","ENSMUSG00000104132.2",0,0,0,0,0,0,0,0
"359","ENSMUSG00000102747.2",0,0,0,0,0,0,0,0
"360","ENSMUSG00000102386.2",1,0,0,0,0,0,0,1
"361","ENSMUSG00000103004.2",0,0,0,0,0,0,0,0
"362","ENSMUSG00000104516.2",0,0,0,0,0,0,0,0
"363","ENSMUSG00000101618.2",0,0,0,0,0,0,0,0
"364","ENSMUSG00000099458.2",0,0,0,0,0,0,0,0
"365","ENSMUSG00000088111.3",0,0,0,0,0,0,0,0
"366","ENSMUSG00000073722.4",0,0,0,0,0,0,2,0
"367","ENSMUSG00000119695.1",0,0,0,0,0,0,0,0
"368","ENSMUSG00000100310.2",0,0,0,0,0,0,0,0
"369","ENSMUSG00000101514.2",0,0,0,0,0,0,0,0
"370","ENSMUSG00000101033.2",0,0,0,0,0,0,0,0
"371","ENSMUSG00000101372.2",0,0,0,0,0,0,0,0
"372","ENSMUSG00000103241.2",0,0,0,0,0,0,0,0
"373","ENSMUSG00000086240.5",2,2,3,1,0,1,1,0
"374","ENSMUSG00000048411.5",0,0,0,0,0,0,0,0
"375","ENSMUSG00000081557.3",0,0,0,0,0,0,0,0
"376","ENSMUSG00000058590.3",0,0,0,0,0,0,0,0
"377","ENSMUSG00000101235.2",0,0,0,0,0,0,0,0
"378","ENSMUSG00002075209.1",0,0,0,0,0,0,0,0
"379","ENSMUSG00002076857.1",0,0,0,0,0,0,0,0
"380","ENSMUSG00002074912.1",0,0,0,0,0,0,0,0
"381","ENSMUSG00000099257.3",0,0,0,0,0,0,0,0
"382","ENSMUSG00000099492.2",4,3,2,1,2,1,5,3
"383","ENSMUSG00000118548.2",0,0,0,0,0,0,0,0
"384","ENSMUSG00000101726.2",0,0,0,0,0,0,0,0
